"bulan";"product_category_name";"product_category_name_englishh";"jumlah"
"2017-04";"ferramentas_jardim";"garden_tools";108
"2017-04";"perfumaria";"perfumery";101
"2017-04";"relogios_presentes";"watches_gifts";95
"2017-04";"automotivo";"auto";84
"2017-04";"";"Unknown";69
"2017-04";"moveis_escritorio";"office_furniture";58
"2017-04";"pet_shop";"pet_shop";51
"2017-04";"bebes";"baby";50
"2017-04";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";48
"2017-04";"malas_acessorios";"luggage_accessories";48
"2017-04";"eletronicos";"electronics";48
"2017-04";"papelaria";"stationery";35
"2017-04";"fashion_calcados";"fashion_shoes";23
"2017-04";"eletroportateis";"small_appliances";20
"2017-04";"market_place";"market_place";19
"2017-04";"casa_conforto";"home_confort";17
"2017-04";"consoles_games";"consoles_games";17
"2017-04";"instrumentos_musicais";"musical_instruments";16
"2017-04";"climatizacao";"air_conditioning";15
"2017-04";"livros_interesse_geral";"books_general_interest";12
"2017-04";"moveis_sala";"furniture_living_room";12
"2017-04";"tablets_impressao_imagem";"tablets_printing_image";11
"2017-04";"audio";"audio";11
"2017-04";"eletrodomesticos";"home_appliances";10
"2017-04";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";9
"2017-04";"alimentos";"food";8
"2017-04";"construcao_ferramentas_jardim";"costruction_tools_garden";8
"2017-04";"telefonia_fixa";"fixed_telephony";6
"2017-04";"fashion_roupa_masculina";"fashion_male_clothing";5
"2017-04";"casa_construcao";"home_construction";5
"2017-04";"fashion_esporte";"fashion_sport";4
"2017-04";"moveis_quarto";"furniture_bedroom";3
"2017-04";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";3
"2017-04";"alimentos_bebidas";"food_drink";3
"2017-04";"sinalizacao_e_seguranca";"signaling_and_security";3
"2017-04";"dvds_blu_ray";"dvds_blu_ray";2
"2017-04";"pc_gamer";"Unknown";2
"2017-04";"eletrodomesticos_2";"home_appliances_2";2
"2017-04";"musica";"music";2
"2017-04";"cine_foto";"cine_photo";2
"2017-04";"artes";"art";1
"2017-04";"artigos_de_natal";"christmas_supplies";1
"2017-04";"moveis_colchao_e_estofado";"furniture_mattress_and_upholstery";1
"2017-04";"casa_conforto_2";"home_comfort_2";1
"2017-04";"la_cuisine";"la_cuisine";1
"2017-04";"fashion_roupa_feminina";"fashio_female_clothing";1
"2017-04";"construcao_ferramentas_ferramentas";"costruction_tools_tools";1
"2017-04";"livros_tecnicos";"books_technical";1
"2017-04";"livros_importados";"books_imported";1
"2017-05";"cama_mesa_banho";"bed_bath_table";361
"2017-05";"informatica_acessorios";"computers_accessories";309
"2017-05";"esporte_lazer";"sports_leisure";305
"2017-05";"utilidades_domesticas";"housewares";302
"2017-05";"beleza_saude";"health_beauty";284
"2017-05";"moveis_decoracao";"furniture_decor";271
"2017-05";"cool_stuff";"cool_stuff";241
"2017-05";"telefonia";"telephony";214
"2017-05";"brinquedos";"toys";196
"2017-05";"perfumaria";"perfumery";143
"2017-05";"ferramentas_jardim";"garden_tools";138
"2017-05";"relogios_presentes";"watches_gifts";129
"2017-05";"automotivo";"auto";113
"2017-05";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";104
"2017-05";"bebes";"baby";102
"2017-05";"";"Unknown";91
"2017-05";"pet_shop";"pet_shop";73
"2017-05";"malas_acessorios";"luggage_accessories";70
"2017-05";"eletronicos";"electronics";65
"2017-05";"papelaria";"stationery";64
"2017-05";"moveis_escritorio";"office_furniture";56
"2017-05";"casa_conforto";"home_confort";35
"2017-05";"moveis_sala";"furniture_living_room";32
"2017-05";"consoles_games";"consoles_games";29
"2017-05";"eletrodomesticos";"home_appliances";28
"2017-05";"market_place";"market_place";22
"2017-05";"fashion_calcados";"fashion_shoes";22
"2017-05";"instrumentos_musicais";"musical_instruments";20
"2017-05";"livros_interesse_geral";"books_general_interest";20
"2017-05";"eletroportateis";"small_appliances";18
"2017-05";"audio";"audio";17
"2017-05";"alimentos_bebidas";"food_drink";12
"2017-05";"telefonia_fixa";"fixed_telephony";9
"2017-05";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";9
"2017-05";"moveis_quarto";"furniture_bedroom";9
"2017-05";"eletrodomesticos_2";"home_appliances_2";7
"2017-05";"climatizacao";"air_conditioning";7
"2017-05";"tablets_impressao_imagem";"tablets_printing_image";7
"2017-05";"casa_construcao";"home_construction";7
"2017-05";"construcao_ferramentas_jardim";"costruction_tools_garden";7
"2017-05";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";7
"2017-05";"artes";"art";6
"2017-05";"fashion_roupa_feminina";"fashio_female_clothing";4
"2017-05";"fashion_roupa_masculina";"fashion_male_clothing";4
"2017-05";"dvds_blu_ray";"dvds_blu_ray";4
"2017-05";"sinalizacao_e_seguranca";"signaling_and_security";4
"2017-05";"agro_industria_e_comercio";"agro_industry_and_commerce";4
"2017-05";"alimentos";"food";3
"2017-05";"livros_tecnicos";"books_technical";3
"2017-05";"fashion_esporte";"fashion_sport";3
"2017-05";"moveis_colchao_e_estofado";"furniture_mattress_and_upholstery";3
"2017-05";"industria_comercio_e_negocios";"industry_commerce_and_business";2
"2017-05";"construcao_ferramentas_ferramentas";"costruction_tools_tools";2
"2017-05";"artes_e_artesanato";"arts_and_craftmanship";1
"2017-05";"construcao_ferramentas_construcao";"construction_tools_construction";1
"2017-05";"la_cuisine";"la_cuisine";1
"2017-05";"fashion_roupa_infanto_juvenil";"fashion_childrens_clothes";1
"2017-05";"cine_foto";"cine_photo";1
"2017-05";"pc_gamer";"Unknown";1
"2017-05";"bebidas";"drinks";1
"2017-06";"cama_mesa_banho";"bed_bath_table";369
"2017-06";"utilidades_domesticas";"housewares";321
"2017-06";"esporte_lazer";"sports_leisure";269
"2017-06";"informatica_acessorios";"computers_accessories";254
"2017-06";"beleza_saude";"health_beauty";254
"2017-06";"moveis_decoracao";"furniture_decor";230
"2017-06";"cool_stuff";"cool_stuff";199
"2017-06";"telefonia";"telephony";157
"2017-06";"brinquedos";"toys";156
"2017-06";"perfumaria";"perfumery";148
"2017-06";"relogios_presentes";"watches_gifts";119
"2017-06";"ferramentas_jardim";"garden_tools";110
"2017-06";"automotivo";"auto";110
"2017-06";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";81
"2017-06";"bebes";"baby";78
"2017-06";"pet_shop";"pet_shop";63
"2017-06";"malas_acessorios";"luggage_accessories";60
"2017-06";"";"Unknown";58
"2017-06";"moveis_escritorio";"office_furniture";50
"2017-06";"eletrodomesticos";"home_appliances";43
"2017-06";"eletronicos";"electronics";41
"2017-06";"papelaria";"stationery";38
"2017-06";"consoles_games";"consoles_games";29
"2017-06";"eletroportateis";"small_appliances";23
"2017-06";"instrumentos_musicais";"musical_instruments";20
"2017-06";"livros_interesse_geral";"books_general_interest";20
"2017-06";"fashion_calcados";"fashion_shoes";19
"2017-06";"casa_conforto";"home_confort";17
"2017-06";"market_place";"market_place";16
"2017-06";"moveis_sala";"furniture_living_room";15
"2017-06";"telefonia_fixa";"fixed_telephony";12
"2017-06";"audio";"audio";11
"2017-06";"climatizacao";"air_conditioning";11
"2017-06";"fashion_roupa_masculina";"fashion_male_clothing";9
"2017-06";"construcao_ferramentas_construcao";"construction_tools_construction";8
"2017-06";"casa_construcao";"home_construction";8
"2017-06";"tablets_impressao_imagem";"tablets_printing_image";6
